,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
r,0.04433879180339528,0.08388847569681815,0.10020713444051499,0.07518446310760565,0.0837580645928793,0.07868980840404835,0.07286027419233032,0.06921633908369187,0.0616301235587013,0.05703942667806226,0.053308520456418915,0.04844789150254085,0.04093055573792902,0.039283809478755434,0.037394720321742805,0.03820600368451306,0.051349406455941396,0.0689700952570613,0.08225190839694657,0.12337662337662338,0.037037037037037035,0.05555555555555555,0.019230769230769232
f,0.037453813110559064,0.003631814089216606,0.015329431857228133,0.0164977600753132,0.012119947094779957,0.013359129663765353,0.0077304399931824724,0.006835052141361516,0.004025374916076719,0.00288964846515323,0.0023053517500524015,0.0017303843068007913,0.000991521266107129,0.0008156606851549756,0.0018435067595247848,0.0008673026886383347,0.0018450184501845018,0.0,0.0,0.006493506493506494,0.009259259259259259,0.013888888888888888,0.0
h,0.037162639219793236,0.03973369648267941,0.010980777285108916,0.027054860324011276,0.031772634593189526,0.02578855072069868,0.02193416194318667,0.020842875969503225,0.020534312666030112,0.02118173102661617,0.01797625227896192,0.016087365723603184,0.014396748366855176,0.011799325344080623,0.018780127122645925,0.015828781856109,0.02388784884916298,0.014172392047528959,0.03263358778625954,0.0,0.11851851851851852,0.0,0.0
l,0.03090831839521576,0.0447993932596733,0.06912198371896232,0.05549866457932834,0.06432735908597678,0.0637587275000084,0.05904445873208293,0.056658208344270655,0.05765251095169538,0.06323204680706533,0.07099184631514793,0.07272695477980848,0.0757959437596184,0.08732824581830834,0.07976008795005629,0.07129553085221121,0.04853318327904686,0.06731056457233894,0.07290076335877863,0.01948051948051948,0.13703703703703704,0.027777777777777776,0.0
g,0.030592649141319678,0.0037738434254067804,0.025655923228105094,0.027366572614818476,0.022383488230934806,0.024576624869569658,0.028530416965671244,0.030233450468747893,0.028755843310576408,0.026876945516236775,0.026508255120121962,0.027005592110936304,0.02630253674352892,0.021984497105892443,0.020274253394679993,0.026237429696687797,0.03235545551936458,0.010156327790500847,0.015267175572519083,0.05844155844155845,0.009259259259259259,0.0,0.057692307692307696
o,0.028998115234036684,0.12880171996780912,0.0626111711257001,0.06754821351347548,0.0817994074620374,0.06862404057599455,0.0721148836119439,0.061705045525726004,0.05933269586078618,0.05739511480159157,0.05782158181644609,0.05398613640818482,0.046627021249244435,0.04992812419406773,0.03840623650342971,0.05772132975579437,0.05130071095432362,0.04251717614258688,0.06803435114503817,0.01948051948051948,0.13703703703703704,0.027777777777777776,0.057692307692307696
u,0.023089808665442014,0.0748013290079933,0.03806519676304976,0.03901222776076076,0.03568582726655049,0.026820567140180565,0.030481400002951207,0.026625648166536918,0.027418583987502073,0.028082443971244417,0.026034057614476927,0.027867446611825678,0.023351312531019824,0.022278924670798127,0.017392584532897014,0.014679656572509145,0.020411531094783088,0.040857645457864515,0.007633587786259542,0.05194805194805195,0.027777777777777776,0.5138888888888888,0.019230769230769232
w,0.021301894360324064,0.005011778441893768,0.008298077518068662,0.0078114049935464475,0.006945840283601616,0.007895831206661742,0.003912498572334093,0.0034908291054263968,0.002483775734491856,0.0016251734019447303,0.001627428280671905,0.0009381857682114915,0.0010499461317299379,0.0009924889019787973,0.0014141885103202017,0.0010191314379959823,0.0018450184501845018,0.006140263533472734,0.0,0.0,0.009259259259259259,0.0,0.0
n,0.018661160327437094,0.07543428813013926,0.0782349989524676,0.05451906926961294,0.057798696091750736,0.07794197962250576,0.07369249324143179,0.08293670893524038,0.08483537297269196,0.08649954880684912,0.09331948257909345,0.09432743402970142,0.10406612776385288,0.09999673812027218,0.1031334985311822,0.0823323130170556,0.11253530423867289,0.09990374722028611,0.0881679389312977,0.1168831168831169,0.009259259259259259,0.05555555555555555,0.019230769230769232
v,0.016501122297458544,0.00868433605515358,0.014539260737111847,0.012746103669152048,0.006406182609954299,0.008275066483497589,0.005943730170120957,0.0064381645825575895,0.008017989430001775,0.007842549313268067,0.007496235279257106,0.00652421033847525,0.0038139856010062255,0.004260854238612415,0.004969309866542004,0.0029055655646302997,0.0033112941100085485,0.012164359919014902,0.0,0.0,0.0,0.0,0.019230769230769232
k,0.0080169955882775,0.0020770337711049068,0.004073878692371352,0.01585027552720724,0.01077087261548849,0.004302453443696428,0.004938318647698132,0.005845749552017053,0.006270806758588694,0.004245461198718824,0.003467602745374169,0.0023892578038931713,0.0023164127787787024,0.0008156606851549756,0.0012753005073424428,0.0008673026886383347,0.0,0.002008032128514056,0.0,0.0,0.0,0.0,0.0
j,0.00738031176655395,0.00023513068459277402,0.0025440272756479367,0.0015998131006332845,0.0005825694172247095,0.0005799644812067306,0.00029921551996539455,0.00020674618543164487,0.00010161644498750101,7.69601909654673e-05,1.9386607731379164e-05,9.412478529891149e-05,0.0,0.0,0.0,0.0004336513443191674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,0.005747288472946789,0.002848868736081634,0.0022105934201999914,0.002619957306403628,0.0016082480620245817,0.0009628893219333891,0.0005817892909120427,0.0007375629461991366,0.0006026838693136986,0.0003326591249825366,0.00017441193611377089,6.206939358202471e-05,0.0,0.00010195758564437195,0.00045596416977587186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,0.0036908806014374763,0.0006925423602007223,0.0030890552994350465,0.003349233903070147,0.002359784593404217,0.0026988963446247347,0.0035718691101064453,0.0059911742078539165,0.006025005078588979,0.0052219662227795905,0.003989791784951537,0.004075945225777678,0.0029479035397309197,0.003487254634158252,0.0013678925093276156,0.0020382628759919646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y,0.003078427671081678,0.02171858162407901,0.011714096604026461,0.010635123360345859,0.016112452534033476,0.020033326812527286,0.02050224309303049,0.025913478489704385,0.03180268704042356,0.04088833501435636,0.049044986258559936,0.0590278261651726,0.06722628668353543,0.06937007189106618,0.08651395433485919,0.09577652026786856,0.09668762376773328,0.09824421653556374,0.0892175572519084,0.08441558441558442,0.009259259259259259,0.041666666666666664,0.038461538461538464
x,0.0012547219192733286,0.011184531910415133,0.004729488169999683,0.002576218065659464,0.00202851792221696,0.002407561464671052,0.001892591383626922,0.001529879909974313,0.0012156684458400954,0.001124574288154412,0.0008524367056972296,0.0005978247984362302,0.0006710352299219915,0.0010794723613872792,0.0006607982541675146,0.0,0.0009225092250922509,0.0,0.0,0.0,0.0,0.0,0.0
